,Incident_DATE,Incident_INC NO.,Incident_LOCATION,Suspect_SEX,Suspect_RACE,Suspect_AGE,Suspect_INJURY,Suspect_WEAPON,Suspect_DECILE
600,2008-01-18,839028,5400 Malmedy,M,B,51,None,None,50 - 59
601,,839028,,M,B,48,None,None,40 - 49
602,2008-01-15,7143608,2000 Santa Rosa,M,H,21,Wounded,BB Gun,20 - 29
610,2007-12-31,190773207,8700 Broadway,M,H,23,Wounded,Flashlight,20 - 29
611,2007-10-18,153198907,6000 T. C. Jester,M,B,30,Killed,None,30 - 39
612,2007-09-20,138627007,10500 Wolbrook,M,B,26,None,Vehicle,20 - 29
613,2007-09-14,136079707,200 Stafford,F,W,23,None,Vehicle,20 - 29
614,2007-08-13,119818907,7373 N. Wayside,F,B,18,Wounded,None,Under 20
615,2007-08-12,118920907,Protected By Law,M,W,24,None,Firearm,20 - 29
616,2007-07-31,112773907,4400 Mowery,M,B,21,Killed,Firearm,20 - 29
622,2007-07-21,107981607,6600 Foster St,M,B,39,Killed,Club,30 - 39
624,2007-07-20,107479507,5900 Golf Course Dr,M,B,43,Wounded,None,40 - 49
625,2007-07-03,98260207,8900 Bissonnet,Juvenile,Juvenile,Juvenile,Wounded,Vehicle,Juvenile
626,2007-07-01,96935007,6500 Airline Dr.,M,H,26,None,None,20 - 29
627,2007-06-08,84230307,7200 Keller,M,B,23,Wounded,Firearm,20 - 29
628,2007-06-03,81607707,5600 Hoover,M,B,42,Wounded,None,40 - 49
629,2007-05-30,79542707,6700 Renwick,Juvenile,Juvenile,Juvenile,Wounded,Firearm,Juvenile
630,2007-05-21,74313707,2610 Hardy,M,H,UNK,Unknown,Toy Gun,Unknown
631,2007-05-12,69483207,6200 West Bellfort,M,H,21,Killed,Firearm,20 - 29
632,2007-05-10,68594007,7920 Harrisburg,M,H,77,Killed,Firearm,70 - 79
633,2007-05-06,65913307,1200 Travis,M,B,42,Killed,Knife,40 - 49
634,2007-05-03,64609707,13200 Jones Road,M,B,18,Wounded,Toy Gun,Under 20
635,2007-04-25,59821907,15902 Galveston Rd,M,H,26,Wounded,Firearm,20 - 29
637,2007-04-17,55773407,5700 South Loop East,M,H,28,None,Vehicle,20 - 29
639,2007-04-13,53207807,200 Holmes Road,M,B,24,S,Firearm,20 - 29
640,2007-03-21,41346907,2800 Winbern,F,B,20,None,Vehicle,20 - 29
641,2007-02-10,20557707,1100 Holland Ave.,M,W,37,Killed,Knife,30 - 39
642,2007-01-26,12751707,20205 Eastex Fwy,M,B,19,Wounded,Vehicle,Under 20
644,2007-01-08,3998207,4600 Knoxville,M,B,23,Killed,Taser,20 - 29
645,2007-01-07,3392207,5018 Curtain Street,M,H,21,Killed,Hammer,20 - 29
646,2006-12-24,197202506,10700 Rosehaven,M,B,42,None,Vehicle,40 - 49
647,2006-12-15,92666106,7402 Calhoun,M,B,51,Killed,Knife,50 - 59
649,2006-10-24,164481806,8000 Cook Road,Juvenile,Juvenile,Juvenile,Wounded,None,Juvenile
650,2006-10-23,163662206,4323 Osby,M,B,46,Killed,Knife,40 - 49
651,2006-10-23,164009106,"11430 East Freeway, Jacinto City, TX",M,A,27,Killed,Pellet Gun,20 - 29
653,2006-10-17,160660406,8515 Jensen,M,B,UNK,None,Firearm,Unknown
655,2006-09-25,148156706,3300 Tidwell,M,B,28,None,Vehicle,20 - 29
656,2006-09-17,143962206,5600 Holly View,M,B,28,None,Firearm,20 - 29
658,2006-09-05,137251106,4100 Maury,M,B,27,Unknown,Firearm,20 - 29
659,2006-08-23,130868306,9540 Kempwood,Juvenile,Juvenile,Juvenile,Wounded,Firearm,Juvenile
660,2006-08-08,122777506,100 Avondale,Juvenile,Juvenile,Juvenile,Wounded,Firearm,Juvenile
661,2006-08-04,120294106,2039 Santa Rosa,M,H,24,Wounded,None,20 - 29
662,2006-08-02,119329906,4950 Burma,M,B,52,None,Firearm,50 - 59
663,2006-07-31,118005606,3914 Leeland,M,B,49,None,Firearm,40 - 49
664,2006-07-31,118327206,8800 Airport Blvd,M,W,37,Wounded,Firearm,30 - 39
667,2006-07-27,115755806,8700 Sandra,M,B,26,None,Firearm,20 - 29
668,2006-07-13,107824206,9715 Kirkville,M,H,35,Killed,Firearm,30 - 39
669,2006-07-05,103944906,2000 Baird,M,W,29,Wounded,Tool,20 - 29
670,2006-06-19,95120206,2820 Hillcroft,F,B,28,Killed,Toy Gun,20 - 29
672,2006-06-16,93829706,5500 Antoine,M,H,23,Wounded,Firearm,20 - 29
673,2006-06-08,88933206,11200 Fuqua Street,M,B,28,None,Firearm,20 - 29
674,2006-06-01,85131306,2500 Woodland Park Dr,M,W,46,Wounded,Firearm,40 - 49
675,2006-05-31,84848906,10615 Beechnut,M,B,21,None,Firearm,20 - 29
676,,84848906,,M,B,20,None,Firearm,20 - 29
677,2006-05-19,78020306,12915 East Freeway,M,B,20,Killed,Firearm,20 - 29
678,2006-05-04,69428906,1300 Dart Street,M,B,54,Wounded,Pipe,50 - 59
679,2006-04-22,62840506,4305 Haywood,M,H,39,Wounded,Firearm,30 - 39
682,2006-04-05,53261906,4625 Laura Koppe,M,B,18,Wounded,Toy Gun,Under 20
683,2006-04-02,51744806,5700 Cherbourgh,M,B,26,None,None,20 - 29
684,2006-03-15,42016506,9501 Jensen,M,W,36,Wounded,None,30 - 39
685,2006-03-11,39877906,210 Avondale,M,W,28,Wounded,Toy Pistol,20 - 29
686,2006-02-23,30371506,6867 Gulf Freeway,M,H,27,Wounded,Vehicle,20 - 29
688,2006-02-08,21933806,2200 Binley,Juvenile,Juvenile,Juvenile,Wounded,Knife,Juvenile
689,2006-02-02,18268706,4500 North Freeway,M,B,28,Killed,Firearm,20 - 29
690,2006-01-24,13033806,605 Frisco,M,H,36,Killed,Firearm,30 - 39
692,2006-01-04,2004806,12221 Fleming,M,H,UNK,Unknown,Firearm,Unknown
693,2005-12-24,193131105,4807 Heritage Plains Friendswood TX,M,B,22,Killed,Firearm,20 - 29
695,2005-12-24,193231905,9305 Rosehaven,M,B,40,Wounded,Firearm,40 - 49
697,2005-12-15,188502605,2300 Mason,M,H,19,Wounded,Firearm,Under 20
698,,188502605,,M,H,22,Wounded,Firearm,20 - 29
699,,188502605,,Juvenile,Juvenile,Juvenile,None,Firearm,Juvenile
700,,188502605,,M,H,24,Killed,Firearm,20 - 29
701,2005-12-05,183852305,6500 Dunlap,M,B,22,Wounded,Firearm,20 - 29
702,2005-11-28,179844005,1816 West Little York,Juvenile,Juvenile,Juvenile,None,Firearm,Juvenile
703,2005-11-07,169240405,3209 North Shepherd,F,W,48,Killed,Firearm,40 - 49
704,2005-11-07,169240405,3209 North Shepherd,F,W,48,Killed,Firearm,40 - 49
705,2005-11-07,169240405,3209 North Shepherd,F,W,48,Killed,Firearm,40 - 49
706,2005-10-26,163031105,6800 Petrie,M,H,UNK,None,Firearm,Unknown
707,2005-09-09,138241605,5600 Sheraton Oaks,M,H,32,Killed,None,30 - 39
708,2005-09-06,152782805,7400 South Hall St,M,B,23,None,Vehicle,20 - 29
709,2005-08-16,125292305,3302 Creston Dr,M,B,19,None,None,Under 20
710,2005-08-10,122380905,3700 Mainer,M,B,52,S,Firearm,50 - 59
711,2005-08-06,120398305,2700 South Kirkwood,M,B,UNK,None,Vehicle,Unknown
712,2005-07-25,113549405,644 Barringer Ln,F,W,19,Killed,Firearm,Under 20
713,2005-07-22,112382105,12510 South Green,M,B,36,None,None,30 - 39
714,2005-07-20,110924105,9421 Richmond,M,W,41,Killed,Firearm,40 - 49
716,2005-07-19,110403105,Protected By Law,M,H,UNK,Wounded,Firearm,Unknown
717,2005-07-17,109574205,Protected By Law,Juvenile,Juvenile,Juvenile,None,None,Juvenile
718,2005-07-13,107632105,11300 Sandhurst Dr,M,B,UNK,None,Firearm,Unknown
719,2005-07-06,103365905,9305 Ronda Lane,M,B,32,Wounded,Firearm,30 - 39
721,,103365905,,M,B,31,Wounded,Firearm,30 - 39
722,2005-07-01,100573705,10200 Forum Park West Dr,M,W,29,Killed,Firearm,20 - 29
724,2005-06-19,94050605,10830 Bellaire,M,A,31,Wounded,Firearm,30 - 39
725,2005-06-09,88385705,11000 Westheimer,M,B,26,Wounded,None,20 - 29
726,2005-06-03,85495805,4900 Saxon,Juvenile,Juvenile,Juvenile,None,Vehicle,Juvenile
727,2005-05-26,80613005,10202 CLub Creek,M,B,22,Killed,Stick - Said Gun,20 - 29
728,2005-05-02,66529405,588 Parkfront,M,H,25,None,Vehicle,20 - 29
730,2005-04-25,63489305,4935 W. Orem,M,B,18,None,Vehicle,Under 20
731,2005-04-08,53339905,8400 S. Gessner,M,H,UNK,None,Firearm,Unknown
732,2005-04-05,52104805,3100 Rogerdale Rd,M,B,26,None,None,20 - 29
733,2005-03-30,48422305,12500 Westheimer,M,B,31,None,None,30 - 39
734,2005-03-16,40489405,4619 West 34th St,M,B,39,None,None,30 - 39
735,2005-03-13,38929805,2100 Nina Lee,M,H,18,None,Vehicle,Under 20
736,2005-03-07,35678805,9621 Radio St.,M,B,21,Killed,Firearm,20 - 29
737,2005-03-01,32456405,7710 Claiborne,M,B,22,None,Firearm,20 - 29
738,2005-02-26,30500705,1915 Mangum,M,W,29,None,Firearm,20 - 29
740,2005-02-23,28841605,9700 Leawood Blvd,M,B,26,Killed,Firearm,20 - 29
741,2005-02-14,24094505,10700 Fondren,M,B,18,None,Firearm,Under 20
742,2005-02-10,21966005,7900 Garland Dr,M,A,26,None,Vehicle,20 - 29
743,2005-01-03,1517405,3333 Telephone Road,M,H,26,Killed,Firearm,20 - 29
745,2005-01-02,1027805,Hwy 6 / Brazoria County Rd 824,M,H,35,Wounded,Vehicle,30 - 39
